,sumoId,tomId,distance
0,111,29554.0,48.74704730995188
1,284,146024.0,332.32115272160524
2,635,29554.0,77.54321481603593
3,1101,196376.0,2.931763371107845
4,1198,196525.0,126.45495975627425
5,1583,158660.0,128.12850879547153
6,1690,127473.0,12.628040504929857
7,1743,151645.0,49.149585749455426
8,1832,127526.0,495.49155320727687
9,2056,196615.0,66.0942579875153
10,2308,28579.0,66.31387406068316
11,2867,158654.0,186.1453434505604
12,2868,82937.0,117.50801230711205
13,4443,158693.0,158.04445254489852
14,4444,42675.0,59.661918094249486
15,4446,192424.0,58.4046560281405
16,4449,181939.0,30.975839847423742
17,4450,158683.0,54.36467277137718
18,4453,42700.0,3.497004541320698
19,4454,158690.0,3.549337444251623
20,4491,192418.0,474.7822838442184
21,4531,192433.0,446.05093771333577
22,4784,68277.0,30.819942301285923
23,4785,144690.0,145.7733438613326
24,4786,127491.0,5.836466698701656
25,4787,127503.0,3.066547602177898
26,4788,127504.0,107.586165230884
27,4793,127568.0,3.546326715688774
28,4795,184050.0,30.763365857470728
29,4797,127583.0,309.2834964345997
30,4810,127620.0,266.27215484896294
31,5782,10958.0,37.59204560852438
32,5783,10959.0,11.61125376176867
33,5799,184035.0,30.664607791037852
34,5800,127467.0,3.253049832658801
35,5801,184047.0,64.41191020413707
36,5802,127535.0,184.67786491667047
37,5803,127458.0,19.028262220906548
38,5804,127469.0,3.789747729231449
39,5805,127493.0,1.4697734368893
40,5806,10970.0,17.37421364122587
41,5807,127509.0,2.69864808700945
42,5809,127514.0,1.477861725916786
43,5812,127502.0,216.94606817484632
44,5813,184045.0,162.78511712303123
45,5814,127489.0,139.11379368487883
46,5819,11120.0,10.601145542429526
47,5832,11146.0,2.671245804363542
48,7486,145426.0,76.36552750312086
49,7488,127486.0,30.037969333794518
50,7489,182700.0,30.9577362677182
51,7491,127499.0,4.735091007352302
52,7492,182698.0,182.950481547891
53,7494,182708.0,43.47309463556075
54,7501,127566.0,5.417784041409239
55,7506,182710.0,39.2011406758737
56,7524,192637.0,64.0587769881327
57,7590,128207.0,2.04658186087164
58,8495,181461.0,44.17965980747175
59,8497,151612.0,624.9019514982092
60,8498,151649.0,186.91519257063774
61,8567,127485.0,2191.8769742641325
62,10142,127498.0,3.357902022520913
63,10500,29469.0,6.989861068794191
64,10501,29488.0,212.04517922611902
65,10848,145828.0,291.9766951796601
66,11421,184038.0,33.20896204710746
67,11422,127468.0,16.616304862578787
68,11427,28782.0,13.620707190229243
69,11431,145160.0,11.48547420015694
70,11674,127451.0,152.6182669011683
71,11803,127545.0,45.601262202078686
72,12145,145759.0,134.9607865071743
73,12153,29468.0,175.9898610687942
74,12174,151643.0,505.7784023411314
75,12176,37927.0,1.716634222402236
76,12177,37927.0,117.05250481488396
77,12522,179797.0,5.032705891497736
78,12524,64032.0,5.128965769465971
79,12526,64023.0,19.22740674069739
80,12528,64038.0,8.244569369788106
81,12530,65876.0,38.44365529761899
82,13087,180302.0,11.974547007981638
83,13539,196682.0,223.28565219258732
84,13837,11096.0,736.4761671243691
85,13865,196219.0,69.70555167478274
86,13886,72766.0,81.08456615862366
87,14591,72954.0,5.517561777971783
88,14604,188970.0,14.101484280662852
89,15057,64349.0,190.1391151926822
90,15601,187675.0,163.66166676646571
91,15632,200558.0,60.481542660766266
92,15674,208355.0,67.0922914899861
93,15978,208355.0,148.95540664665006
94,17365,92368.0,164.33686198266363
95,17652,218768.0,275.7535362248016
96,18015,91934.0,270.3720385510667
97,18030,207983.0,496.7976592461141
98,18061,207771.0,181.90763174134565
99,18081,92211.0,707.9301221896264
100,18092,106402.0,163.9821922095759
101,18096,208396.0,153.57163630851215
102,18173,104056.0,735.0969610175551
103,18239,115443.0,609.7322140334031
104,18240,115440.0,100.04940857154847
105,18242,231801.0,125.18072024215311
106,18250,207180.0,1857.6616621230041
107,18279,208424.0,132.67047681906507
108,18280,220015.0,308.6033038119451
109,33757,208231.0,706.6032030567072
110,33786,107019.0,1135.9101666981676
111,17364,92000.0,1355.5421030735642
112,17650,92000.0,1392.5500167658045
113,18141,208048.0,792.1096152321063
114,18166,208059.0,484.47613024223153
115,18165,92076.0,138.0341494091359
116,18216,92090.0,342.46040176497957
117,18164,208224.0,640.5120635713573
118,18079,208072.0,964.5144927041538
119,17948,207697.0,225.50934774454703
120,18055,91711.0,258.81973269076536
121,18125,92417.0,304.86630411115345
122,18330,92006.0,13.485740250622673
123,18049,207752.0,12.554781669564713
124,18058,231828.0,450.30539677686403
125,18059,208051.0,78.0029892568217
126,18153,207882.0,246.14140219012336
127,18060,208052.0,11.501295205694348
128,17950,207684.0,9.072919069032409
129,18048,92270.0,4.638795390801147
130,18050,208228.0,6.875303512211452
131,18051,207688.0,6.923033010857912
132,18053,207687.0,12.066868612644033
133,18054,92271.0,4.986068440367159
134,18080,219358.0,113.38398351958388
135,18151,207683.0,81.33252970560919
136,18152,207883.0,8.005898248002971
137,18056,207686.0,15.355914664170193
138,18057,91641.0,5.535500781587986
139,18052,218757.0,16.110499669381774
140,18203,208028.0,38.55345641422237
141,18082,220005.0,264.1212353739108
142,18154,208020.0,464.49139713688413
143,18334,207698.0,575.1974080417515
144,18327,91655.0,35.40093701712857
145,18328,91657.0,32.96108324937219
146,18147,207696.0,342.1407112737282
147,18148,91998.0,366.1407112737282
148,18262,111566.0,201.89275806151534
149,18263,91648.0,117.24660702607864
150,18264,91648.0,305.09541751785434
151,18329,92208.0,109.2002125967914
152,18261,111568.0,243.8277497124603
153,18260,207690.0,12.765430680692186
